Timestamp,MatCode,Base,Length (m),Print and Dye,Remarks,Stitch and Applique,Remarks,Added expenses,Production cost,Added_to_catalogue,MatMaster,Remarks,
12/08/2023 03:29:31,MoC-7-P1,725.9107405,5.5,200,hand-block-print-black-square-bottle-green-border,652,applique-beige-flowers,0,1577.910741,1,,,
13/10/2023 00:28:59,CS-10-P1,443.8613913,5.5,300,hand-block-print,,,0,743.8613913,1,,,
05/01/2024 00:19:51,CS-10-P2,443.8613913,5.5,300,hand-block-print,,,0,743.8613913,1,,,
,CS-10-P3,242.1062135,3,,,,,,,,,,
06/18/2023 17:01:44,PrC-16-P1,381.6111112,2,,,250,tailoring-stitching,0,631.6111112,1,,,
06/18/2023 17:25:48,PrC-17-P1,159.4444444,1,,,250,tailoring-stitching,0,409.4444444,1,,,
06/18/2023 17:34:54,PrC-32-P1,190.8055556,1,,,250,tailoring-stitching,0,440.8055556,1,,,
06/18/2023 17:44:34,PrC-14-P1,284.5416666,1.5,,,250,tailoring-stitching,0,534.5416666,1,,,
06/18/2023 18:05:56,PrC-11-P1,284.5416666,1.5,,,250,tailoring-stitching,0,534.5416666,1,,,
06/18/2023 18:49:04,SS-2-P1,854.3008001,5.5,250,hand-block-printed-hypnotic-flowers-in-blue-and-red-pnated-from-bottom-border-of-the-saree,,,0,1104.3008,1,,,
25/07/2023 23:55:56,MoC-2-P1,862.49852,6.5,220,hand-block-print-patli-pallu-in-red-and-black,170,stitching-and-tailoring,0,1252.49852,1,,,
06/18/2023 20:22:23,CC-4-P1,304.6153846,5.5,177,stitching-border-kalam-kari-print-on-grey,,,0,481.6153846,1,,,
,PrC-10-P1,76.80555555,0.5,,,,,,,,CC-4-P1,saree-border,
06/18/2023 20:27:43,PrC-9-P1,153.6111111,1,,,200,tailoring-stitching,0,353.6111111,1,,,
06/21/2023 01:33:31,MoC-2-P2,132.69208,1,100,block-printed-gradient-jungle,150,tailoring-stitching,0,382.69208,1,,,
04/07/2023 13:52:00,MoC-5-P1,508.5714815,5.5,200,hand-block-printed-with-blue-leaves-and-black-zigzag-border,727.3,applique-work-with-CA-3-P1,0,1435.871481,1,,,
,CA-3-P1,177.2857407,1,,,,,,,,MoC-5-P1,applique,
04/07/2023 13:53:20,CA-3-P2,177.2857407,1,,,300,stitching-and-tailoring,0,477.2857407,1,MoC-5-P1,blouse,
04/07/2023 20:06:17,R-7-P1,844.6235611,5.5,180,hand-block-printed-with-maroon-colored-Jamini-roy-style-devi-face,150,stitched-maroon-border,0,1174.623561,1,,,
04/07/2023 20:05:35,R-7-P2,153.5679202,1,20,block-printed-jamini-roy-style-devi-face-in-maroon-color,300,tailoring-and-stitching,0,473.5679202,1,R-7-P1,blouse,
05/07/2023 00:35:33,ArS-12-P1,110,1,,,270,stitching-and-tailoring,0,380,1,,,
05/07/2023 01:22:06,ArS-18-P1,68.2142963,1,,,270,stitching-and-tailoring,0,338.2142963,1,,,
05/07/2023 23:45:49,MoC-12-P1,666.9047622,5.5,,,200,stitched-rani-pink-zari-border,0,866.9047622,1,,,
